// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// restore --no-dependencies  /p:UseSharedCompilation=false took 2.45s and exited with 0
// build --framework netcoreapp2.0 --configuration Release --no-restore --no-dependencies  /p:UseSharedCompilation=false took 4.41s and exited with 0
// ***** Done, took 00:00:07 (7.15 sec)   *****
// Found benchmarks:
//   ChipotleCsvBenchmark.Parse2KB: DefaultJob
//   ChipotleCsvBenchmark.Parse4KB: DefaultJob
//   ChipotleCsvBenchmark.Parse8KB: DefaultJob
//   ChipotleCsvBenchmark.Parse16KB: DefaultJob
//   ChipotleCsvBenchmark.Parse32KB: DefaultJob

// **************************
// Benchmark: ChipotleCsvBenchmark.Parse2KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 801500.00 ns, 801.5000 us/op
WorkloadJitting  1: 1 op, 128394400.00 ns, 128.3944 ms/op
WorkloadPilot    1: 2 op, 333700.00 ns, 166.8500 us/op
WorkloadPilot    2: 3 op, 396600.00 ns, 132.2000 us/op
WorkloadPilot    3: 4 op, 635600.00 ns, 158.9000 us/op
WorkloadPilot    4: 5 op, 785400.00 ns, 157.0800 us/op
WorkloadPilot    5: 6 op, 979200.00 ns, 163.2000 us/op
WorkloadPilot    6: 7 op, 1225200.00 ns, 175.0286 us/op
WorkloadPilot    7: 8 op, 1445400.00 ns, 180.6750 us/op
WorkloadPilot    8: 9 op, 1323500.00 ns, 147.0556 us/op
WorkloadPilot    9: 10 op, 1523200.00 ns, 152.3200 us/op
WorkloadPilot   10: 11 op, 1447300.00 ns, 131.5727 us/op
WorkloadPilot   11: 12 op, 1786800.00 ns, 148.9000 us/op
WorkloadPilot   12: 13 op, 1928000.00 ns, 148.3077 us/op
WorkloadPilot   13: 14 op, 2329300.00 ns, 166.3786 us/op
WorkloadPilot   14: 15 op, 2524500.00 ns, 168.3000 us/op
WorkloadPilot   15: 16 op, 2751100.00 ns, 171.9438 us/op
WorkloadPilot   16: 32 op, 6078300.00 ns, 189.9469 us/op
WorkloadPilot   17: 64 op, 11284400.00 ns, 176.3188 us/op
WorkloadPilot   18: 128 op, 24449500.00 ns, 191.0117 us/op
WorkloadPilot   19: 256 op, 42036600.00 ns, 164.2055 us/op
WorkloadPilot   20: 512 op, 53722500.00 ns, 104.9268 us/op
WorkloadPilot   21: 1024 op, 115762400.00 ns, 113.0492 us/op
WorkloadPilot   22: 2048 op, 197180200.00 ns, 96.2794 us/op
WorkloadPilot   23: 4096 op, 384985700.00 ns, 93.9906 us/op
WorkloadPilot   24: 8192 op, 766538600.00 ns, 93.5716 us/op
WorkloadWarmup   1: 8192 op, 713242100.00 ns, 87.0657 us/op
WorkloadWarmup   2: 8192 op, 749125800.00 ns, 91.4460 us/op
WorkloadWarmup   3: 8192 op, 791571800.00 ns, 96.6274 us/op
WorkloadWarmup   4: 8192 op, 780014900.00 ns, 95.2167 us/op
WorkloadWarmup   5: 8192 op, 777519200.00 ns, 94.9120 us/op
WorkloadWarmup   6: 8192 op, 770362200.00 ns, 94.0384 us/op
WorkloadWarmup   7: 8192 op, 766057100.00 ns, 93.5128 us/op
WorkloadWarmup   8: 8192 op, 808336700.00 ns, 98.6739 us/op
WorkloadWarmup   9: 8192 op, 797273400.00 ns, 97.3234 us/op
// BeforeActualRun
WorkloadActual   1: 8192 op, 807788400.00 ns, 98.6070 us/op
WorkloadActual   2: 8192 op, 781776600.00 ns, 95.4317 us/op
WorkloadActual   3: 8192 op, 752285300.00 ns, 91.8317 us/op
WorkloadActual   4: 8192 op, 826897500.00 ns, 100.9396 us/op
WorkloadActual   5: 8192 op, 814557200.00 ns, 99.4333 us/op
WorkloadActual   6: 8192 op, 775479800.00 ns, 94.6631 us/op
WorkloadActual   7: 8192 op, 782183100.00 ns, 95.4813 us/op
WorkloadActual   8: 8192 op, 743731200.00 ns, 90.7875 us/op
WorkloadActual   9: 8192 op, 806261800.00 ns, 98.4206 us/op
WorkloadActual  10: 8192 op, 764516200.00 ns, 93.3247 us/op
WorkloadActual  11: 8192 op, 793898200.00 ns, 96.9114 us/op
WorkloadActual  12: 8192 op, 810139800.00 ns, 98.8940 us/op
WorkloadActual  13: 8192 op, 765658800.00 ns, 93.4642 us/op
WorkloadActual  14: 8192 op, 765873700.00 ns, 93.4904 us/op
WorkloadActual  15: 8192 op, 790406400.00 ns, 96.4852 us/op
WorkloadActual  16: 8192 op, 817934200.00 ns, 99.8455 us/op
WorkloadActual  17: 8192 op, 823048900.00 ns, 100.4698 us/op
WorkloadActual  18: 8192 op, 818300100.00 ns, 99.8901 us/op
WorkloadActual  19: 8192 op, 775103000.00 ns, 94.6171 us/op
WorkloadActual  20: 8192 op, 769474800.00 ns, 93.9300 us/op
WorkloadActual  21: 8192 op, 779800200.00 ns, 95.1905 us/op
WorkloadActual  22: 8192 op, 776352600.00 ns, 94.7696 us/op
WorkloadActual  23: 8192 op, 781388000.00 ns, 95.3843 us/op
WorkloadActual  24: 8192 op, 778188600.00 ns, 94.9937 us/op
WorkloadActual  25: 8192 op, 784756100.00 ns, 95.7954 us/op
WorkloadActual  26: 8192 op, 801665500.00 ns, 97.8596 us/op
WorkloadActual  27: 8192 op, 795403300.00 ns, 97.0951 us/op
// AfterActualRun
WorkloadResult   1: 8192 op, 807788400.00 ns, 98.6070 us/op
WorkloadResult   2: 8192 op, 781776600.00 ns, 95.4317 us/op
WorkloadResult   3: 8192 op, 752285300.00 ns, 91.8317 us/op
WorkloadResult   4: 8192 op, 826897500.00 ns, 100.9396 us/op
WorkloadResult   5: 8192 op, 814557200.00 ns, 99.4333 us/op
WorkloadResult   6: 8192 op, 775479800.00 ns, 94.6631 us/op
WorkloadResult   7: 8192 op, 782183100.00 ns, 95.4813 us/op
WorkloadResult   8: 8192 op, 743731200.00 ns, 90.7875 us/op
WorkloadResult   9: 8192 op, 806261800.00 ns, 98.4206 us/op
WorkloadResult  10: 8192 op, 764516200.00 ns, 93.3247 us/op
WorkloadResult  11: 8192 op, 793898200.00 ns, 96.9114 us/op
WorkloadResult  12: 8192 op, 810139800.00 ns, 98.8940 us/op
WorkloadResult  13: 8192 op, 765658800.00 ns, 93.4642 us/op
WorkloadResult  14: 8192 op, 765873700.00 ns, 93.4904 us/op
WorkloadResult  15: 8192 op, 790406400.00 ns, 96.4852 us/op
WorkloadResult  16: 8192 op, 817934200.00 ns, 99.8455 us/op
WorkloadResult  17: 8192 op, 823048900.00 ns, 100.4698 us/op
WorkloadResult  18: 8192 op, 818300100.00 ns, 99.8901 us/op
WorkloadResult  19: 8192 op, 775103000.00 ns, 94.6171 us/op
WorkloadResult  20: 8192 op, 769474800.00 ns, 93.9300 us/op
WorkloadResult  21: 8192 op, 779800200.00 ns, 95.1905 us/op
WorkloadResult  22: 8192 op, 776352600.00 ns, 94.7696 us/op
WorkloadResult  23: 8192 op, 781388000.00 ns, 95.3843 us/op
WorkloadResult  24: 8192 op, 778188600.00 ns, 94.9937 us/op
WorkloadResult  25: 8192 op, 784756100.00 ns, 95.7954 us/op
WorkloadResult  26: 8192 op, 801665500.00 ns, 97.8596 us/op
WorkloadResult  27: 8192 op, 795403300.00 ns, 97.0951 us/op
GC:  64 0 0 269287448 8192
// AfterAll

Mean = 96.2225 us, StdErr = 0.5177 us (0.54%); N = 27, StdDev = 2.6898 us
Min = 90.7875 us, Q1 = 94.6171 us, Median = 95.4813 us, Q3 = 98.6070 us, Max = 100.9396 us
IQR = 3.9899 us, LowerFence = 88.6322 us, UpperFence = 104.5919 us
ConfidenceInterval = [94.3037 us; 98.1412 us] (CI 99.9%), Margin = 1.9188 us (1.99% of Mean)
Skewness = 0.04, Kurtosis = 2.03, MValue = 2.62

// **************************
// Benchmark: ChipotleCsvBenchmark.Parse4KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 820200.00 ns, 820.2000 us/op
WorkloadJitting  1: 1 op, 102294500.00 ns, 102.2945 ms/op
WorkloadPilot    1: 2 op, 1069800.00 ns, 534.9000 us/op
WorkloadPilot    2: 3 op, 882600.00 ns, 294.2000 us/op
WorkloadPilot    3: 4 op, 1317100.00 ns, 329.2750 us/op
WorkloadPilot    4: 5 op, 1537900.00 ns, 307.5800 us/op
WorkloadPilot    5: 6 op, 1757100.00 ns, 292.8500 us/op
WorkloadPilot    6: 7 op, 2174100.00 ns, 310.5857 us/op
WorkloadPilot    7: 8 op, 2481800.00 ns, 310.2250 us/op
WorkloadPilot    8: 9 op, 2890300.00 ns, 321.1444 us/op
WorkloadPilot    9: 10 op, 3065700.00 ns, 306.5700 us/op
WorkloadPilot   10: 11 op, 3263800.00 ns, 296.7091 us/op
WorkloadPilot   11: 12 op, 3534800.00 ns, 294.5667 us/op
WorkloadPilot   12: 13 op, 3795500.00 ns, 291.9615 us/op
WorkloadPilot   13: 14 op, 4430900.00 ns, 316.4929 us/op
WorkloadPilot   14: 15 op, 4842100.00 ns, 322.8067 us/op
WorkloadPilot   15: 16 op, 5738900.00 ns, 358.6813 us/op
WorkloadPilot   16: 32 op, 12534400.00 ns, 391.7000 us/op
WorkloadPilot   17: 64 op, 27351900.00 ns, 427.3734 us/op
WorkloadPilot   18: 128 op, 41765000.00 ns, 326.2891 us/op
WorkloadPilot   19: 256 op, 87112800.00 ns, 340.2844 us/op
WorkloadPilot   20: 512 op, 149288400.00 ns, 291.5789 us/op
WorkloadPilot   21: 1024 op, 320672600.00 ns, 313.1568 us/op
WorkloadPilot   22: 2048 op, 550502000.00 ns, 268.7998 us/op
WorkloadWarmup   1: 2048 op, 610255300.00 ns, 297.9762 us/op
WorkloadWarmup   2: 2048 op, 662821500.00 ns, 323.6433 us/op
WorkloadWarmup   3: 2048 op, 615281400.00 ns, 300.4304 us/op
WorkloadWarmup   4: 2048 op, 575751100.00 ns, 281.1285 us/op
WorkloadWarmup   5: 2048 op, 555377500.00 ns, 271.1804 us/op
WorkloadWarmup   6: 2048 op, 577721200.00 ns, 282.0904 us/op
WorkloadWarmup   7: 2048 op, 575726700.00 ns, 281.1166 us/op
// BeforeActualRun
WorkloadActual   1: 2048 op, 633314500.00 ns, 309.2356 us/op
WorkloadActual   2: 2048 op, 583770500.00 ns, 285.0442 us/op
WorkloadActual   3: 2048 op, 569216700.00 ns, 277.9378 us/op
WorkloadActual   4: 2048 op, 587243600.00 ns, 286.7400 us/op
WorkloadActual   5: 2048 op, 611839900.00 ns, 298.7500 us/op
WorkloadActual   6: 2048 op, 588055600.00 ns, 287.1365 us/op
WorkloadActual   7: 2048 op, 584760900.00 ns, 285.5278 us/op
WorkloadActual   8: 2048 op, 612123400.00 ns, 298.8884 us/op
WorkloadActual   9: 2048 op, 589258200.00 ns, 287.7237 us/op
WorkloadActual  10: 2048 op, 616497300.00 ns, 301.0241 us/op
WorkloadActual  11: 2048 op, 622397800.00 ns, 303.9052 us/op
WorkloadActual  12: 2048 op, 618901300.00 ns, 302.1979 us/op
WorkloadActual  13: 2048 op, 663072000.00 ns, 323.7656 us/op
WorkloadActual  14: 2048 op, 618407000.00 ns, 301.9565 us/op
WorkloadActual  15: 2048 op, 620907500.00 ns, 303.1775 us/op
WorkloadActual  16: 2048 op, 610191100.00 ns, 297.9449 us/op
WorkloadActual  17: 2048 op, 574819500.00 ns, 280.6736 us/op
WorkloadActual  18: 2048 op, 588879800.00 ns, 287.5390 us/op
WorkloadActual  19: 2048 op, 588306500.00 ns, 287.2590 us/op
WorkloadActual  20: 2048 op, 609851000.00 ns, 297.7788 us/op
WorkloadActual  21: 2048 op, 625861300.00 ns, 305.5963 us/op
WorkloadActual  22: 2048 op, 588584200.00 ns, 287.3946 us/op
WorkloadActual  23: 2048 op, 602071800.00 ns, 293.9804 us/op
WorkloadActual  24: 2048 op, 614874900.00 ns, 300.2319 us/op
WorkloadActual  25: 2048 op, 593241300.00 ns, 289.6686 us/op
WorkloadActual  26: 2048 op, 602900900.00 ns, 294.3852 us/op
WorkloadActual  27: 2048 op, 611599700.00 ns, 298.6327 us/op
WorkloadActual  28: 2048 op, 626075700.00 ns, 305.7010 us/op
WorkloadActual  29: 2048 op, 616258500.00 ns, 300.9075 us/op
WorkloadActual  30: 2048 op, 593387800.00 ns, 289.7401 us/op
WorkloadActual  31: 2048 op, 590518100.00 ns, 288.3389 us/op
// AfterActualRun
WorkloadResult   1: 2048 op, 633314500.00 ns, 309.2356 us/op
WorkloadResult   2: 2048 op, 583770500.00 ns, 285.0442 us/op
WorkloadResult   3: 2048 op, 569216700.00 ns, 277.9378 us/op
WorkloadResult   4: 2048 op, 587243600.00 ns, 286.7400 us/op
WorkloadResult   5: 2048 op, 611839900.00 ns, 298.7500 us/op
WorkloadResult   6: 2048 op, 588055600.00 ns, 287.1365 us/op
WorkloadResult   7: 2048 op, 584760900.00 ns, 285.5278 us/op
WorkloadResult   8: 2048 op, 612123400.00 ns, 298.8884 us/op
WorkloadResult   9: 2048 op, 589258200.00 ns, 287.7237 us/op
WorkloadResult  10: 2048 op, 616497300.00 ns, 301.0241 us/op
WorkloadResult  11: 2048 op, 622397800.00 ns, 303.9052 us/op
WorkloadResult  12: 2048 op, 618901300.00 ns, 302.1979 us/op
WorkloadResult  13: 2048 op, 663072000.00 ns, 323.7656 us/op
WorkloadResult  14: 2048 op, 618407000.00 ns, 301.9565 us/op
WorkloadResult  15: 2048 op, 620907500.00 ns, 303.1775 us/op
WorkloadResult  16: 2048 op, 610191100.00 ns, 297.9449 us/op
WorkloadResult  17: 2048 op, 574819500.00 ns, 280.6736 us/op
WorkloadResult  18: 2048 op, 588879800.00 ns, 287.5390 us/op
WorkloadResult  19: 2048 op, 588306500.00 ns, 287.2590 us/op
WorkloadResult  20: 2048 op, 609851000.00 ns, 297.7788 us/op
WorkloadResult  21: 2048 op, 625861300.00 ns, 305.5963 us/op
WorkloadResult  22: 2048 op, 588584200.00 ns, 287.3946 us/op
WorkloadResult  23: 2048 op, 602071800.00 ns, 293.9804 us/op
WorkloadResult  24: 2048 op, 614874900.00 ns, 300.2319 us/op
WorkloadResult  25: 2048 op, 593241300.00 ns, 289.6686 us/op
WorkloadResult  26: 2048 op, 602900900.00 ns, 294.3852 us/op
WorkloadResult  27: 2048 op, 611599700.00 ns, 298.6327 us/op
WorkloadResult  28: 2048 op, 626075700.00 ns, 305.7010 us/op
WorkloadResult  29: 2048 op, 616258500.00 ns, 300.9075 us/op
WorkloadResult  30: 2048 op, 593387800.00 ns, 289.7401 us/op
WorkloadResult  31: 2048 op, 590518100.00 ns, 288.3389 us/op
GC:  47 0 0 198361112 2048
// AfterAll

Mean = 295.4446 us, StdErr = 1.7345 us (0.59%); N = 31, StdDev = 9.6575 us
Min = 277.9378 us, Q1 = 287.3946 us, Median = 297.7788 us, Q3 = 301.9565 us, Max = 323.7656 us
IQR = 14.5619 us, LowerFence = 265.5518 us, UpperFence = 323.7994 us
ConfidenceInterval = [289.1206 us; 301.7687 us] (CI 99.9%), Margin = 6.3240 us (2.14% of Mean)
Skewness = 0.54, Kurtosis = 3.38, MValue = 2

// **************************
// Benchmark: ChipotleCsvBenchmark.Parse8KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
OverheadJitting  1: 1 op, 1014600.00 ns, 1.0146 ms/op
WorkloadJitting  1: 1 op, 131371600.00 ns, 131.3716 ms/op
WorkloadPilot    1: 2 op, 1538200.00 ns, 769.1000 us/op
WorkloadPilot    2: 3 op, 2533400.00 ns, 844.4667 us/op
WorkloadPilot    3: 4 op, 2996800.00 ns, 749.2000 us/op
WorkloadPilot    4: 5 op, 3683000.00 ns, 736.6000 us/op
WorkloadPilot    5: 6 op, 4515000.00 ns, 752.5000 us/op
WorkloadPilot    6: 7 op, 5119800.00 ns, 731.4000 us/op
WorkloadPilot    7: 8 op, 5792200.00 ns, 724.0250 us/op
WorkloadPilot    8: 9 op, 7422400.00 ns, 824.7111 us/op
